customerID,churn_probability,risk_tier,MonthlyCharges,value_tier,segment,Contract,tenure,expected_retained_value,net_expected_value,recommend_intervention
6569-KTMDU,0.2031076596678521,High Risk,19.1,Low Value,High Risk / Low Value,Month-to-month,1,15.129489568658304,-12.370510431341696,False
6121-VZNQB,0.2640941199178571,High Risk,19.1,Low Value,High Risk / Low Value,Month-to-month,1,19.672370992681177,-7.827629007318823,False
9441-QHEVC,0.1994307437461561,High Risk,19.1,Low Value,High Risk / Low Value,Month-to-month,1,14.855596101651173,-12.644403898348827,False
9039-ZVJDC,0.2399195196986537,High Risk,19.1,Low Value,High Risk / Low Value,Month-to-month,3,17.871605022352718,-9.628394977647282,False
7302-ZHMHP,0.2029766262452185,High Risk,19.15,Low Value,High Risk / Low Value,Month-to-month,1,15.159309331124145,-12.340690668875855,False
9046-JBFWA,0.0526552751142237,Low Risk,19.15,Low Value,Low Risk / Low Value,Month-to-month,27,3.9325592219057963,-23.567440778094202,False
0487-VVUVK,0.0792174391056742,Low Risk,19.15,Low Value,Low Risk / Low Value,Month-to-month,25,5.916354439607278,-21.58364556039272,False
6979-TNDEU,0.1503290443539119,Low Risk,19.2,Low Value,Low Risk / Low Value,Month-to-month,8,11.256638841220923,-16.243361158779077,False
1663-MHLHE,0.199172297567882,High Risk,19.2,Low Value,High Risk / Low Value,Month-to-month,1,14.914021641883002,-12.585978358116998,False
9137-NOQKA,0.2959025631259823,High Risk,19.2,Low Value,High Risk / Low Value,Month-to-month,2,22.15718392687355,-5.34281607312645,False
3308-MHOOC,0.2313403228311328,High Risk,19.2,Low Value,High Risk / Low Value,Month-to-month,1,17.322763373595222,-10.177236626404778,False
7168-HDQHG,0.0359765516839639,Low Risk,19.2,Low Value,Low Risk / Low Value,Month-to-month,36,2.693924190095217,-24.806075809904783,False
4232-JGKIY,0.2630818019189291,High Risk,19.2,Low Value,High Risk / Low Value,Month-to-month,1,19.699565327689413,-7.800434672310587,False
3373-YZZYM,0.1756710669901545,Low Risk,19.2,Low Value,Low Risk / Low Value,Month-to-month,1,13.154249496222771,-14.345750503777229,False
8780-RSYYU,0.0916965154848493,Low Risk,19.2,Low Value,Low Risk / Low Value,Month-to-month,25,6.866235079505516,-20.633764920494485,False
9837-FWLCH,0.1958646498921536,High Risk,19.2,Low Value,High Risk / Low Value,Month-to-month,12,14.66634498392446,-12.83365501607554,False
1098-TDVUQ,0.2740990899895617,High Risk,19.25,Low Value,High Risk / Low Value,Month-to-month,1,20.577989180966345,-6.922010819033655,False
4541-RMRLG,0.2058994318009321,High Risk,19.25,Low Value,High Risk / Low Value,Month-to-month,7,15.457899842454978,-12.042100157545022,False
3156-QLHBO,0.1689854381437666,Low Risk,19.25,Low Value,Low Risk / Low Value,Month-to-month,2,12.686581768643277,-14.813418231356723,False
5186-PEIZU,0.0430085148194974,Low Risk,19.25,Low Value,Low Risk / Low Value,Month-to-month,35,3.2288642500737676,-24.27113574992623,False
4946-EDSEW,0.1529588545189573,Low Risk,19.25,Low Value,Low Risk / Low Value,Month-to-month,11,11.48338600301072,-16.01661399698928,False
5537-UXXVS,0.090228733036792,Low Risk,19.25,Low Value,Low Risk / Low Value,Month-to-month,20,6.77392213273716,-20.72607786726284,False
0303-WMMRN,0.220744619039163,High Risk,19.25,Low Value,High Risk / Low Value,Month-to-month,5,16.572402274365167,-10.927597725634833,False
6082-GLJIX,0.0926626134215577,Low Risk,19.25,Low Value,Low Risk / Low Value,Month-to-month,18,6.956645702623444,-20.543354297376556,False
5510-BOIUJ,0.1759900808867619,Low Risk,19.25,Low Value,Low Risk / Low Value,Month-to-month,1,13.21245532257365,-14.28754467742635,False
9374-YOLBJ,0.2382260563904084,High Risk,19.25,Low Value,High Risk / Low Value,Month-to-month,1,17.884821183509906,-9.615178816490094,False
0761-AETCS,0.2672228258757156,High Risk,19.3,Low Value,High Risk / Low Value,Month-to-month,1,20.113862103665117,-7.386137896334883,False
0396-HUJBP,0.1945824132071436,High Risk,19.3,Low Value,High Risk / Low Value,Month-to-month,2,14.6462182421017,-12.8537817578983,False
7785-RDVIG,0.1638688927624219,Low Risk,19.3,Low Value,Low Risk / Low Value,Month-to-month,3,12.334411558227496,-15.165588441772504,False
7926-IJOOU,0.1937104793163569,Low Risk,19.3,Low Value,Low Risk / Low Value,Month-to-month,1,14.580587778142185,-12.919412221857815,False
6112-KTHFQ,0.1619465275254915,Low Risk,19.3,Low Value,Low Risk / Low Value,Month-to-month,13,12.189715126843744,-15.310284873156256,False
2320-YKQBO,0.1571722227788129,Low Risk,19.3,Low Value,Low Risk / Low Value,Month-to-month,7,11.830353208561249,-15.669646791438751,False
4667-OHGKG,0.259050709208613,High Risk,19.3,Low Value,High Risk / Low Value,Month-to-month,1,19.498746882132302,-8.001253117867698,False
1724-IQWNM,0.2310524590886177,High Risk,19.3,Low Value,High Risk / Low Value,Month-to-month,1,17.391318595600257,-10.108681404399743,False
1735-XMJVH,0.1720821924189238,Low Risk,19.35,Low Value,Low Risk / Low Value,Month-to-month,8,12.986182650894087,-14.513817349105913,False
9142-XMYJH,0.0547756159218972,Low Risk,19.35,Low Value,Low Risk / Low Value,Month-to-month,29,4.133641855545973,-23.366358144454026,False
0366-NQSHS,0.1909859910199231,Low Risk,19.35,Low Value,Low Risk / Low Value,Month-to-month,2,14.4127578123185,-13.0872421876815,False
5917-HBSDW,0.0453840052224045,Low Risk,19.35,Low Value,Low Risk / Low Value,Month-to-month,37,3.424903954108756,-24.075096045891243,False
4903-UYAVB,0.1685200978043813,Low Risk,19.35,Low Value,Low Risk / Low Value,Month-to-month,5,12.717369180807637,-14.782630819192363,False
2096-XOTMO,0.0898211650093686,Low Risk,19.35,Low Value,Low Risk / Low Value,Month-to-month,16,6.7783542174320015,-20.721645782567997,False
9063-ZGTUY,0.0133317454838131,Low Risk,19.4,Low Value,Low Risk / Low Value,Month-to-month,61,1.008679863305299,-26.4913201366947,False
0098-BOWSO,0.1149475623761796,Low Risk,19.4,Low Value,Low Risk / Low Value,Month-to-month,27,8.696932569381747,-18.803067430618253,False
2223-KAGMX,0.1143555602288074,Low Risk,19.4,Low Value,Low Risk / Low Value,Month-to-month,15,8.652141686911566,-18.847858313088434,False
2243-FNMMI,0.0851449587036326,Low Risk,19.4,Low Value,Low Risk / Low Value,Month-to-month,20,6.442067575516843,-21.057932424483155,False
9101-NTIXF,0.1910560166046409,Low Risk,19.4,Low Value,Low Risk / Low Value,Month-to-month,2,14.455298216307128,-13.044701783692872,False
5766-ZJYBB,0.1986561603056198,High Risk,19.4,Low Value,High Risk / Low Value,Month-to-month,1,15.030325088723194,-12.469674911276806,False
8295-FHIVV,0.20511453309451,High Risk,19.4,Low Value,High Risk / Low Value,Month-to-month,7,15.518965573930624,-11.981034426069376,False
0208-BPQEJ,0.113506168463036,Low Risk,19.4,Low Value,Low Risk / Low Value,Month-to-month,12,8.587876705913304,-18.912123294086697,False
9629-NHXFW,0.2343093365250857,High Risk,19.4,Low Value,High Risk / Low Value,Month-to-month,1,17.727844401487985,-9.772155598512015,False
6878-GGDWG,0.0508191759427784,Low Risk,19.4,Low Value,Low Risk / Low Value,Month-to-month,32,3.844978851830614,-23.655021148169386,False
5616-PRTNT,0.1376997417871311,Low Risk,19.4,Low Value,Low Risk / Low Value,Month-to-month,20,10.418362463614336,-17.081637536385664,False
8410-BGQXN,0.1756714959062492,Low Risk,19.4,Low Value,Low Risk / Low Value,Month-to-month,4,13.291305380266813,-14.208694619733187,False
7298-IZWLY,0.263150940180603,High Risk,19.4,Low Value,High Risk / Low Value,Month-to-month,1,19.91000013406442,-7.589999865935582,False
2308-STERM,0.1951090537665471,High Risk,19.4,Low Value,High Risk / Low Value,Month-to-month,2,14.761951007976956,-12.738048992023044,False
2220-IAHLS,0.1970515509093372,High Risk,19.4,Low Value,High Risk / Low Value,Month-to-month,1,14.908920341800453,-12.591079658199547,False
7956-XQWGU,0.0789622662049775,Low Risk,19.4,Low Value,Low Risk / Low Value,Month-to-month,27,5.974285061068597,-21.5257149389314,False
3679-XASPY,0.2376387463099831,High Risk,19.45,Low Value,High Risk / Low Value,Month-to-month,1,18.026087101343766,-9.473912898656234,False
8944-AILEF,0.1415701793514841,Low Risk,19.45,Low Value,Low Risk / Low Value,Month-to-month,15,10.738805954706828,-16.761194045293173,False
7617-EYGLW,0.2622976076598879,High Risk,19.45,Low Value,High Risk / Low Value,Month-to-month,1,19.896585029040796,-7.603414970959204,False
1257-SXUXQ,0.1466277138333464,Low Risk,19.45,Low Value,Low Risk / Low Value,Month-to-month,5,11.122445232828492,-16.37755476717151,False
1725-MIMXW,0.2306211334787269,High Risk,19.45,Low Value,High Risk / Low Value,Month-to-month,1,17.49376608002883,-10.00623391997117,False
2171-UDMFD,0.0553808507791482,Low Risk,19.45,Low Value,Low Risk / Low Value,Month-to-month,32,4.200914435852287,-23.299085564147713,False
2882-DDZPG,0.1309101113474491,Low Risk,19.45,Low Value,Low Risk / Low Value,Month-to-month,12,9.930186496260752,-17.569813503739248,False
3750-RNQKR,0.1255836302156514,Low Risk,19.45,Low Value,Low Risk / Low Value,Month-to-month,12,9.526146270008235,-17.973853729991767,False
9174-FKWZE,0.3885387952530581,High Risk,19.45,Low Value,High Risk / Low Value,Month-to-month,1,29.47261031392073,1.972610313920729,True
8393-JMVMB,0.1985272832797434,High Risk,19.45,Low Value,High Risk / Low Value,Month-to-month,1,15.059287073184933,-12.440712926815067,False
4760-XOHVN,0.1784136138834216,Low Risk,19.45,Low Value,Low Risk / Low Value,Month-to-month,1,13.533564681126947,-13.966435318873053,False
4801-KFYKL,0.135113852425827,Low Risk,19.45,Low Value,Low Risk / Low Value,Month-to-month,8,10.249061275761106,-17.250938724238893,False
4770-QAZXN,0.1155101413428352,Low Risk,19.45,Low Value,Low Risk / Low Value,Month-to-month,13,8.762021771560764,-18.737978228439236,False
1051-GEJLJ,0.1932746573658651,Low Risk,19.5,Low Value,Low Risk / Low Value,Month-to-month,2,14.698537692674043,-12.801462307325957,False
3318-ISQFQ,0.1236381187210048,Low Risk,19.5,Low Value,Low Risk / Low Value,Month-to-month,20,9.402678928732415,-18.097321071267586,False
9391-TTOYH,0.1026599555578798,Low Risk,19.5,Low Value,Low Risk / Low Value,Month-to-month,23,7.807289620176759,-19.69271037982324,False
5624-RYAMH,0.2526486160919865,High Risk,19.5,Low Value,High Risk / Low Value,Month-to-month,9,19.213927253795575,-8.286072746204425,False
6806-YDEUL,0.2030214550903626,High Risk,19.5,Low Value,High Risk / Low Value,Month-to-month,6,15.439781659622074,-12.060218340377926,False
7551-JOHTI,0.202061156622189,High Risk,19.5,Low Value,High Risk / Low Value,Month-to-month,1,15.366750961117472,-12.133249038882528,False
5906-BFOZT,0.2584294760581375,High Risk,19.5,Low Value,High Risk / Low Value,Month-to-month,1,19.653561654221356,-7.846438345778644,False
8566-YPRGL,0.2628370285870404,High Risk,19.5,Low Value,High Risk / Low Value,Month-to-month,1,19.98875602404442,-7.51124397595558,False
1905-OEILC,0.202061156622189,High Risk,19.5,Low Value,High Risk / Low Value,Month-to-month,1,15.366750961117472,-12.133249038882528,False
0883-EIBTI,0.1934622627650998,Low Risk,19.5,Low Value,Low Risk / Low Value,Month-to-month,2,14.712805083285843,-12.787194916714157,False
8053-WWDRO,0.1716195044770601,Low Risk,19.5,Low Value,Low Risk / Low Value,Month-to-month,6,13.05166331548042,-14.44833668451958,False
7727-SHVZV,0.1488747621606607,Low Risk,19.5,Low Value,Low Risk / Low Value,Month-to-month,9,11.321925662318247,-16.178074337681753,False
2061-VVFST,0.0403569996213368,Low Risk,19.5,Low Value,Low Risk / Low Value,Month-to-month,37,3.0691498212026636,-24.430850178797336,False
2866-IKBTM,0.2019306272635145,High Risk,19.55,Low Value,High Risk / Low Value,Month-to-month,1,15.396200675706664,-12.103799324293336,False
1029-QFBEN,0.1982697179490811,High Risk,19.55,Low Value,High Risk / Low Value,Month-to-month,1,15.117074645027689,-12.382925354972311,False
8605-ITULD,0.2019306272635145,High Risk,19.55,Low Value,High Risk / Low Value,Month-to-month,1,15.396200675706664,-12.103799324293336,False
2484-DGXPZ,0.0612720107340342,Low Risk,19.55,Low Value,Low Risk / Low Value,Month-to-month,31,4.671684458416438,-22.828315541583564,False
1345-GKDZZ,0.1412467793859571,Low Risk,19.55,Low Value,Low Risk / Low Value,Month-to-month,6,10.769360694282298,-16.730639305717702,False
4365-MSDYN,0.2031214544420376,High Risk,19.55,Low Value,High Risk / Low Value,Month-to-month,8,15.48699529393316,-12.01300470606684,False
2576-HXMPA,0.1966674639063944,High Risk,19.55,Low Value,High Risk / Low Value,Month-to-month,1,14.994910785543041,-12.505089214456959,False
6506-EYCNH,0.0733023099316476,Low Risk,19.55,Low Value,Low Risk / Low Value,Month-to-month,28,5.588934620738472,-21.91106537926153,False
3724-UCSHY,0.1406746113661434,Low Risk,19.55,Low Value,Low Risk / Low Value,Month-to-month,6,10.725735743611605,-16.774264256388395,False
4693-VWVBO,0.2467560584008558,High Risk,19.55,Low Value,High Risk / Low Value,Month-to-month,3,18.81391567277325,-8.686084327226752,False
1622-HSHSF,0.2626801631758167,High Risk,19.55,Low Value,High Risk / Low Value,Month-to-month,1,20.028049041340147,-7.471950958659853,False
1237-WIYYZ,0.1296531979422262,Low Risk,19.55,Low Value,Low Risk / Low Value,Month-to-month,18,9.885408077105039,-17.61459192289496,False
0927-CNGRH,0.1752866062639463,Low Risk,19.55,Low Value,Low Risk / Low Value,Month-to-month,1,13.364727294594585,-14.135272705405415,False
7601-WFVZV,0.1982697179490811,High Risk,19.55,Low Value,High Risk / Low Value,Month-to-month,1,15.117074645027689,-12.382925354972311,False
7989-CHGTL,0.2581192237061778,High Risk,19.6,Low Value,High Risk / Low Value,Month-to-month,1,19.730633460100233,-7.769366539899767,False
6184-DYUOB,0.2421650965691906,High Risk,19.6,Low Value,High Risk / Low Value,Month-to-month,3,18.511099981748934,-8.988900018251066,False
4881-GQJTW,0.1092629039124317,Low Risk,19.6,Low Value,Low Risk / Low Value,Month-to-month,14,8.35205637506628,-19.14794362493372,False
5702-SKUOB,0.1780849878983667,Low Risk,19.6,Low Value,Low Risk / Low Value,Month-to-month,4,13.61281647495115,-13.88718352504885,False
1051-EQPZR,0.0221497491735843,Low Risk,19.6,Low Value,Low Risk / Low Value,Month-to-month,44,1.693126826828784,-25.806873173171216,False
4588-YBNIB,0.2625233580439074,High Risk,19.6,Low Value,High Risk / Low Value,Month-to-month,1,20.067285488876287,-7.432714511123713,False
5468-BPMMO,0.0325528611734345,Low Risk,19.6,Low Value,Low Risk / Low Value,Month-to-month,46,2.4883407080973337,-25.011659291902667,False
6036-TTFYU,0.1036897712119763,Low Risk,19.6,Low Value,Low Risk / Low Value,Month-to-month,16,7.926046111443469,-19.57395388855653,False
9313-CDOGY,0.0422538293476522,Low Risk,19.6,Low Value,Low Risk / Low Value,Month-to-month,38,3.2298827153345346,-24.270117284665467,False
1087-UDSIH,0.2429669370430038,High Risk,19.6,Low Value,High Risk / Low Value,Month-to-month,3,18.57239266756721,-8.927607332432789,False
6040-CGACY,0.1090416886486776,Low Risk,19.6,Low Value,Low Risk / Low Value,Month-to-month,15,8.335146680304916,-19.164853319695084,False
8457-XIGKN,0.110433361811747,Low Risk,19.6,Low Value,Low Risk / Low Value,Month-to-month,20,8.441526176889942,-19.058473823110056,False
7854-EKTJL,0.2940397351918358,High Risk,19.6,Low Value,High Risk / Low Value,Month-to-month,2,22.47639735806393,-5.023602641936069,False
4719-UMSIY,0.1400407142630643,Low Risk,19.65,Low Value,Low Risk / Low Value,Month-to-month,6,10.732020137549933,-16.76797986245007,False
2640-LYMOV,0.2481229402039245,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,2,19.014901522527754,-8.485098477472246,False
4160-AMJTL,0.238631103632938,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,8,18.287494626910203,-9.212505373089797,False
8329-IBCTI,0.2016697575305745,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,1,15.454961868355575,-12.045038131644425,False
1057-FOGLZ,0.0955974672831907,Low Risk,19.65,Low Value,Low Risk / Low Value,Month-to-month,18,7.326111905247318,-20.173888094752684,False
1465-WCZVT,0.163323685323851,Low Risk,19.65,Low Value,Low Risk / Low Value,Month-to-month,3,12.51631062479332,-14.98368937520668,False
2466-NEJOJ,0.1250007348511888,Low Risk,19.65,Low Value,Low Risk / Low Value,Month-to-month,8,9.579431315320853,-17.920568684679147,False
1194-SPVSP,0.2066133810504245,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,1,15.833816456799283,-11.666183543200717,False
3694-GLTJM,0.2181914275933898,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,5,16.721100053619427,-10.778899946380573,False
7291-CDTMJ,0.2682980854550831,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,1,20.56102377885029,-6.938976221149709,False
7721-DVEKZ,0.2016697575305745,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,1,15.454961868355575,-12.045038131644425,False
6141-OOXUQ,0.1980124042207033,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,1,15.174680597453595,-12.325319402546405,False
3785-NRHYR,0.1980124042207033,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,1,15.174680597453595,-12.325319402546405,False
7526-IVLYU,0.239104924142003,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,3,18.323805861622397,-9.176194138377603,False
0690-SRQID,0.2287004787865699,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,4,17.52646119180878,-9.973538808191218,False
3845-FXCYS,0.3209367806879327,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,2,24.59499018801972,-2.9050098119802783,False
1577-HKTFG,0.0567128827885676,Low Risk,19.65,Low Value,Low Risk / Low Value,Month-to-month,30,4.346191772501878,-23.15380822749812,False
0970-QXPXW,0.2016697575305745,High Risk,19.65,Low Value,High Risk / Low Value,Month-to-month,1,15.454961868355575,-12.045038131644425,False
3077-RSNTJ,0.142812210412858,Low Risk,19.7,Low Value,Low Risk / Low Value,Month-to-month,6,10.97226212601988,-16.527737873980122,False
1563-IWQEX,0.1242813704770187,Low Risk,19.7,Low Value,Low Risk / Low Value,Month-to-month,12,9.548537693749347,-17.951462306250654,False
3374-PZLXD,0.0426664438848439,Low Risk,19.7,Low Value,Low Risk / Low Value,Month-to-month,34,3.2780628836725567,-24.221937116327442,False
3981-QSVQI,0.2035859331893929,High Risk,19.7,Low Value,High Risk / Low Value,Month-to-month,8,15.641507246941057,-11.858492753058943,False
7623-HKYRK,0.1403309180115354,Low Risk,19.7,Low Value,Low Risk / Low Value,Month-to-month,6,10.781624430826264,-16.718375569173737,False
0247-SLUJI,0.174501514089602,Low Risk,19.7,Low Value,Low Risk / Low Value,Month-to-month,1,13.406951327504121,-14.093048672495879,False
2332-EFBJY,0.1385002012465223,Low Risk,19.7,Low Value,Low Risk / Low Value,Month-to-month,16,10.640970461770308,-16.85902953822969,False
6319-QSUSR,0.1110197096469869,Low Risk,19.7,Low Value,Low Risk / Low Value,Month-to-month,11,8.529644292178004,-18.970355707821994,False
3824-RHKVR,0.0963419885312408,Low Risk,19.7,Low Value,Low Risk / Low Value,Month-to-month,17,7.4019549788552315,-20.09804502114477,False
5396-IZEPB,0.1362508302301739,Low Risk,19.7,Low Value,Low Risk / Low Value,Month-to-month,9,10.468151286584261,-17.03184871341574,False
9970-QBCDA,0.1589845936231062,Low Risk,19.7,Low Value,Low Risk / Low Value,Month-to-month,6,12.21478632806325,-15.28521367193675,False
6615-ZGEDR,0.1978838416975425,High Risk,19.7,Low Value,High Risk / Low Value,Month-to-month,1,15.20341555762219,-12.29658444237781,False
3930-ZGWVE,0.1977553420630836,High Risk,19.75,Low Value,High Risk / Low Value,Month-to-month,1,15.232105222409015,-12.267894777590985,False
8138-EALND,0.1069533636613929,Low Risk,19.75,Low Value,Low Risk / Low Value,Month-to-month,15,8.238082836018789,-19.26191716398121,False
3717-OFRTN,0.2063480259356929,High Risk,19.75,Low Value,High Risk / Low Value,Month-to-month,1,15.893956697696748,-11.606043302303252,False
6849-WLEYG,0.1748188545291069,Low Risk,19.75,Low Value,Low Risk / Low Value,Month-to-month,1,13.465422270104458,-14.034577729895542,False
5577-OTWWW,0.1140148906793884,Low Risk,19.75,Low Value,Low Risk / Low Value,Month-to-month,15,8.781996954579892,-18.718003045420108,False
0268-QKIWO,0.2460206247584146,High Risk,19.75,Low Value,High Risk / Low Value,Month-to-month,3,18.949738622016888,-8.550261377983112,False
4558-CGYCZ,0.1741828940641064,Low Risk,19.75,Low Value,Low Risk / Low Value,Month-to-month,4,13.416437415287795,-14.083562584712205,False
7239-HZZCX,0.1977553420630836,High Risk,19.75,Low Value,High Risk / Low Value,Month-to-month,1,15.232105222409015,-12.267894777590985,False
2465-BLLEU,0.2576543007995865,High Risk,19.75,Low Value,High Risk / Low Value,Month-to-month,1,19.84582251908815,-7.6541774809118515,False
2428-ZMCTB,0.130430742705197,Low Risk,19.75,Low Value,Low Risk / Low Value,Month-to-month,10,10.0464279568678,-17.453572043132198,False
6124-ACRHJ,0.2014091397576591,High Risk,19.75,Low Value,High Risk / Low Value,Month-to-month,1,15.513538989833691,-11.986461010166309,False
7853-WNZSY,0.2513962556838756,High Risk,19.75,Low Value,High Risk / Low Value,Month-to-month,1,19.36379659405052,-8.13620340594948,False
3181-MIZBN,0.1221150625601953,Low Risk,19.75,Low Value,Low Risk / Low Value,Month-to-month,16,9.405912693699044,-18.094087306300956,False
1156-ZFYDO,0.2657981683091364,High Risk,19.75,Low Value,High Risk / Low Value,Month-to-month,1,20.473103914011233,-7.026896085988767,False
3936-QQFLL,0.1896425494610059,Low Risk,19.75,Low Value,Low Risk / Low Value,Month-to-month,2,14.607217372233979,-12.892782627766021,False
9103-CXVOK,0.2326513821667286,High Risk,19.75,Low Value,High Risk / Low Value,Month-to-month,1,17.91997271139227,-9.580027288607731,False
8573-CGOCC,0.0981385490357237,Low Risk,19.75,Low Value,Low Risk / Low Value,Month-to-month,16,7.559121739476617,-19.940878260523384,False
8562-GHPPI,0.196028575820925,High Risk,19.8,Low Value,High Risk / Low Value,Month-to-month,1,15.13732662489183,-12.36267337510817,False
4892-VLANZ,0.1976269053132923,High Risk,19.8,Low Value,High Risk / Low Value,Month-to-month,1,15.260749628292434,-12.239250371707566,False
5384-ZTTWP,0.0939526441139822,Low Risk,19.8,Low Value,Low Risk / Low Value,Month-to-month,15,7.255023178481706,-20.244976821518293,False
4182-BGSIQ,0.1673432289687577,Low Risk,19.8,Low Value,Low Risk / Low Value,Month-to-month,10,12.922244140967472,-14.577755859032528,False
1449-XQEMT,0.2380981990028208,High Risk,19.8,Low Value,High Risk / Low Value,Month-to-month,3,18.38594292699782,-9.11405707300218,False
9364-YKUVW,0.1441123990724894,Low Risk,19.8,Low Value,Low Risk / Low Value,Month-to-month,15,11.128359456377632,-16.37164054362237,False
3675-YDUPJ,0.1782563358733852,Low Risk,19.85,Low Value,Low Risk / Low Value,Month-to-month,10,13.799714241638119,-13.700285758361881,False
1135-LMECX,0.2011487739212039,High Risk,19.85,Low Value,High Risk / Low Value,Month-to-month,1,15.57193233311,-11.92806766689,False
0030-FNXPP,0.1848904446213372,Low Risk,19.85,Low Value,Low Risk / Low Value,Month-to-month,3,14.313293770360822,-13.186706229639178,False
0107-WESLM,0.3321776837638412,High Risk,19.85,Low Value,High Risk / Low Value,Month-to-month,1,25.71553538857777,-1.78446461142223,False
4291-HPAXL,0.1745853478207489,Low Risk,19.85,Low Value,Low Risk / Low Value,Month-to-month,1,13.515524701543278,-13.984475298456722,False
1498-DQNRX,0.0554598903581343,Low Risk,19.85,Low Value,Low Risk / Low Value,Month-to-month,29,4.293427412074967,-23.20657258792503,False
6164-HXUGH,0.1427228224682069,Low Risk,19.85,Low Value,Low Risk / Low Value,Month-to-month,6,11.048887301376237,-16.451112698623763,False
8150-QUDFX,0.1899576255474813,Low Risk,19.85,Low Value,Low Risk / Low Value,Month-to-month,2,14.705569581758267,-12.794430418241733,False
0310-VQXAM,0.139812579619061,Low Risk,19.85,Low Value,Low Risk / Low Value,Month-to-month,9,10.823590851209607,-16.67640914879039,False
0137-UDEUO,0.1851874509879546,Low Risk,19.85,Low Value,Low Risk / Low Value,Month-to-month,3,14.336286518232509,-13.163713481767491,False
0594-UFTUL,0.1372346092033935,Low Risk,19.85,Low Value,Low Risk / Low Value,Month-to-month,13,10.62401727148071,-16.87598272851929,False
